Review,AMBIENCE#GENERAL,DRINKS#PRICES,DRINKS#QUALITY,DRINKS#STYLE&OPTIONS,FOOD#PRICES,FOOD#QUALITY,FOOD#STYLE&OPTIONS,LOCATION#GENERAL,RESTAURANT#GENERAL,RESTAURANT#MISCELLANEOUS,RESTAURANT#PRICES,SERVICE#GENERAL
"_ Ảnh chụp từ hôm qua, đi chơi với gia đình và 1 nhà họ hàng đang sống tại Sài Gòn. _ Hôm qua đi ăn trưa muộn, ai cũng đói hết nên lúc có đồ ăn là nhào vô ăn liền, bởi vậy mới quên chụp các phần gọi thêm với nước mắm, chỉ chụp món chính thôi! _ Đói quá nên không biết đánh giá đồ ăn kiểu gì luôn 😅😅😅_ Chọn cái này vì thấy nó lạ với tui.",0,0,0,0,0,3,3,0,0,0,0,0
"_Hương vị thơm ngon, ăn cay cay rất thích, nêm nếm vừa miệng. Ngoài ra menu quán cũng nhiều món khác nhau tha hồ cho bạn lựa chọn luôn._Quán rộng rãi, view khá đẹp và cũng thoáng lắm. Khách của quán đông nên nhiều khi nhân viên phục vụ không được nhanh cho lắm._Thịt heo rừng giá theo kì nên nhớ hỏi trước nhưng trung bình là 150k 1 phần. Hai bạn đi chung chi khoảng 400k hơn là ổn nhé.",1,0,0,0,3,1,1,0,1,0,3,2
"- 1 bàn tiệc hoành tráng 3 đứa ăn no muốn tắt thở mà giá chỉ 228k (ăn trung đợt giảm 10%), mình thích nhất pad thái vs gà nướng - đúng kiểu Thái luôn, quán nhỏ, trong hẻm, cơ mà anh phục vụ rất dễ thương, chế biến hợp vệ sinh, bếp lộ thiên lại còn có thể xin nấu cùng - đã!",2,0,0,0,1,1,1,2,1,1,0,1
- Các bạn nhìn cái chảo này có to không 🙄🙄🙄- Trên hình thấy nó cũng to mà ra bên ngoài nó bé tí tẹo tèo teo í 😅😅😅😅- Mà nhìn hoàng tráng lắm - Ăn là no muốn lăn luôn hahaaa - Cái này từ hồi mình ở Hà Nội đã thèm thuồng và vẫn chưa có cơ hội thử thì vô Sài Gòn có quán bánh mì chảo đậm chất Hà Nội đây 👍🏼👍🏼👍🏼- Thêm địa điểm cho mấy bạn nên đi thử nhé - Không thất vọng đâu vì nó khá ngon hê hê,0,0,0,0,0,1,1,0,1,0,0,0
"- Cháo: có nhiều hương cho các bạn chọn, nhưng mình thì chọn hương lá dứa. Cháo thì cỡ hai chén là hết, cháo khá nhừ và thơm, cháo thơm mùi gạo tự nhiên😍- Ếch: vị satế, vì mình cực kì thích ăn cay. Nồi ếch thơm lừng , ăn tại chỗ thì ếch nóng hổi , ăn nóng bao ngon luôn. Cay cay, mặn mặn hoà chung với cháo thì siêu ngon luôn😝",0,0,0,0,0,1,1,0,0,0,0,0
"- Đồ nướng thì chỗ này không ít bạn ""chẻ"" biết đến đâu nhỉ =))) - Giá thì cực sinh viên luôn . Chỉ từ 5k 1 xiên thôi . Có cả bò phô mai với cả bạch tuộc nướng nưa- Thịt ở đây ướp rất là ngon vừa miệng ăn nữa - Nói chùn là không có chỗ chê hê hê",0,0,0,0,1,1,1,0,1,0,0,0
"- Đói không ngủ được nên up hình đồ ăn cho mấy bạn coi - Mì ý ở đây ngon lắm, không chê vào đâu đươc í - Không gian cực kì dễ thương =)) thíc hợp với việc hẹn hò haha - Giá cả gọi là hợp lí cho sinh viên tụi mình lâu lâu tự thưởng cho bản thân một bữa ngon lành cũng không gọi là tiếc nuối đâu ạ",1,0,0,0,1,1,0,0,0,0,0,0
"- Khẩu vị vừa ăn hợp vệ sinh , không gian quán rộng view cũng tạm được. Đặc biệt là phục vụ rất nhiệt tình và vui vẻ",1,0,0,0,0,1,0,3,0,1,0,1
- Kimchi Kimchi 😹😹- Nói cho cùng thì đồ ăn càng cay càng ngon hã 😂- Lẩu bánh gạo phần 4 người ăn ở kimchikimchi - chúng ta có thể ăn no nê luôn - Nồi lẩu khá to và còn được tặng kèm 2 lon sting và 1 phần cơm chiên nữa 😍😍😍- Đang có chương trình khuyến mại giảm 50% cho phần lẩu 4 người này các bạn ạ - Ai mà nghiền cay thì không thể không check in hhahaaa,0,0,0,0,1,1,1,0,0,0,0,0
"- Lẩu hàu thì chưa thấy đâu có. Mới ăn lần đầu ở đây luôn, mà ghiền quá. Một phần lẩu 199k đầy đặn có 8 con hàu, 2 quả trứng, rau, nấm, một gói mì Hàn (ăn dai dai chứ ko bở như mấy loại thường).- Cách ăn lẩu này là đập trứng cùng hàu trụng tái ăn mới ngon. Nước lẩu cay cay, ấm bụng cực :D- Mì thêm 10k/ vắt, trứng 5k/ trái.",0,0,0,0,3,1,1,0,0,0,0,0
- Ngon tuyệt vời luôn !,0,0,0,0,0,1,0,0,0,0,0,0
"- Ở quán Cơm chay Thuyền Viên.- Chỉ một từ thôi: NGON 💘👍- Vẫn rất giòn dù lúc tớ là 8h30 tối, ăn rất ngon, mùi lại thơm nữa. Nêm vừa ăn, ăn chung tương ớt rất ngon (không có tương xí muội)- Giá ok: 3k/cuốn.",0,0,0,0,1,1,0,0,0,0,0,0
"- Ở Quảng, tên mấy tiệm mì Quảng thường đặt tên theo người nấu ra nó, vậy nên thấy cái ""mì Quảng Bà Dzũ"" đã cảm được chất của Đà Nẵng ngay từ cái nhìn đầu tiên rồi. - Ngoài mì Quảng, quán còn rất nhiều món Quảng rất ngon như bún cá cam, bún bò Đà Nẵng (chỉ xài thịt bò, không có giò), bún mắm nêm, chè đậu ngự. Quán do 1 anh người Quảng rất Quảng nên món cũng rất Quảng. - Đặt cái tên dễ làm người ta nao lòng, tô bé đẹp, tô bé cưng, cà phê tình mê, bún mắm tình đắm,... nhìn mà phì cười. - Quán rất thoáng mát, nếu đang vội, đừng tới đây ăn, mà hãy chờ lúc nào thong thả. - Quán gì đó - Muốn quên cũng khó.",1,0,0,0,0,1,1,0,1,0,0,0
"- Quán tên là Cơm chay Thuyền Viên.- Ăn rất ổn, mùi thơm, rau cải giòn, mì căn không có mùi hôi dầu như nhiều chỗ mình hay ăn. Bị cái nước tương hơi dở. Nếu bạn nào chịu ăn lạt thì không cần thêm nước tương đâu 👍- Giá cũng được : 18k/đĩa- Ở đây còn bán rất nhiều món chay khác như cơm, phở, hủ tiếu, bún thái, các món ăn vặt chay, phụ liệu nấu đồ chay,... ăn rất ổn.",0,0,0,0,1,3,1,0,0,0,0,0
"- Quán trong hẻm nhưng ngay đường Nguyễn Cư Trinh nên cực kì dễ tìm- Đồ ăn đa dạng, ngon nhất vẫn là nem nướng - Giá cả hợp lý- Nhân viên phục vụ nhiệt tình- Nhất định sẽ quay lại nè",0,0,0,0,1,1,1,1,1,0,0,1
"- Wagyu beef 360k/g x 750g at minimum for order nhen. Mình ăn medrare - Sauce Chi... đầu tiên trong menu : 70k sauce ớt chuông rau ,... với oliu oil- Sauce Blue cheese béo ngon hình như 100k , hơi nhẫn đắng- Cheese mặn đút lò ngon. Tên món  quên òi. 😜😜 hong nhớ giá luôn. Ngon thơm.- Salad A... ko nhớ tên. Size nhỏ 100k. Rau cải ngựa và hành khoanh, cheese, sốt hành. Nồng khó ăn.",0,0,0,0,3,3,0,0,0,0,0,0
"-Đi vô đường Chấn Hưng xiú là quán bún thịt nướng Hải Đăng nổi tiếng hơn hẳn.( có nhiều quán lắm nha)-Quán thuộc dạng bình dân, sân nhà rộng,giữ xe miễn phí.-1 phần đầy đủ là 25k,( chả giò, thịt nướng, nem); có 1 xô nước mắm inox trên mỗi bàn lun,muốn ăn bao nhiêu thì múc :)) ( có thể gọi thêm dĩa bún thêm dành cho ạ ra sức ăn mặn)-Ăn được, phục vụ nhanh gọn, có điều không nóng hổi, do làm sẵn chuẩn bị trước.Hotgirl tính tiền hehe",1,0,0,0,1,1,3,3,1,1,0,1
"-Quán ngay khu trung tâm, khá đông, nhất vào giờ ăn trưa, phải book chỗ trước.-Phần như hình là 1/2 bánh tráng phơi sương thịt giò:102k(1 phần thì là 173k)-Dọn kèm bánh tráng phơi sương dẻo,rau rừng tươi xanh, dĩa đồ chua, nước mắm, mắm nêm.ngoài ra quán còn cọ món tủ là bánh canh (55k), cháo sò lông( cái này mình chưa ăn nhưng thấy ai vô cũng gọi hết).Còn có chè khúc bạch không thể không nhắc ở HT.-Trà đá 4k/ly-Khăn lạnh 2kQuán nhiều khách, nhưng nhân ciên vô cùng niềm nở, dễ thương nha ^^Không thích là tính tiền giữ xe 3k thoai :(",0,0,0,1,3,0,1,1,0,2,0,1
"-Trong hình là gà bó xôi truyền thống :280k-Xôi thơm dẻo, bên ngoài giòn rụm.-Gà dai dai ướp thấm gia vị.-Order trước 2 tiếng là giao tới nhà liền, nóng hổi trong hộp.-Bao bì, hộp đựng sạch sẽ, chắc chắn; được thêm bao tay nilong để xé gà nữa. 😍-Nhân viên chuyên nghiệp, dễ thương.-Order trên flyfood.vn để tham khảo thêm menu.-Nhà mình đặt 2 con gà, 1 súp, 1 bò hầm tiêu,1 gỏi củ hủ dừa hơn 1 triệu xíu mà 12 người ăn còn dư luôn nha.-Bò hầm tiêu xanh ngon lắm lắm, gỏi củ hủ dừa hơi ngọt xíu theo khẩu vị miền Nam; súp đậm đà có thịt, nấm, trứng cút nhiều lắm.-Lần sau là thử thêm nhiều món khác nữa nè hie hie😙😛🤗",0,0,0,0,1,1,1,0,1,0,0,1
"-Vị trí: Quán nằm ngay mặt tiền đường Sư Vạn Hạnh khá dễ tìm. -Đồ ăn: bánh bèo, bánh bột lọc, bánh nậm, bánh ít ram, nem huế, chả huế các loại. Bánh thơm, ngon, có điều nước mắm hơi ngọt.-Giá cả: 30k/ mâm bánh bèo chén. Dĩa thì 24k  như hình chưa có nem, chả. -Không gian: quán bình dân, hơi chật, trời này mà ngồi hơi bị nóng, quán đông, hay bị thiếu bàn. Ko có ai coi xe.",2,0,0,0,3,3,1,1,0,2,0,0
". Bên ngoài giòn giòn ăn cực thích. Bên trong cơm nhật với dưa leo, trứng, thanh cua mềm rất tuyệt",0,0,0,0,0,1,0,0,0,0,0,0
. Cấp độ 3 đã đủ sức chịu đựng của mình. Ăn vừa nóng vừa cay cay mà toát hết mồ hôi hột😢😢 vừa khẩu vị của mỗi người . Không gian có phần hơi chật nhưng thoáng và trang trí đẹp theo phong cách Hường Cuốc,3,0,0,0,0,1,0,0,0,0,0,0
". Gà rán giòn ướp vị chua cay rất ngon, bánh ăn kèm giòn và thơm mùi bơ",0,0,0,0,0,1,1,0,0,0,0,0
. Lần đầu ăn ở đây thấy rất ngon mà cũng lạ chỗ mới mở tại Vincom Quang Trung nên còn nhiều món chưa có nhưng ăn ở đây sẽ no căng luôn,0,0,0,0,0,1,1,0,0,0,0,0
. Lần đầu ăn ở đây thấy rất ngon mà cũng lạ chỗ mới mở tại Vincom Quang Trung nên còn nhiều món chưa có nhưng ăn ở đây sẽ no căng luôn ❤️ Tặng kèm cả cơm và canh nếu phần đó chỉ có đồ ăn.,0,0,0,0,1,1,1,0,0,0,0,0
". Mì Cay Hàn Quốc êiii ❤️. Mì dai nah ❤️. Nhiều hải sản nah ❤️ (tôm, mực,...). Nước dùng bao cay nah ❤️❤️. Đáng đồng tiền lúmm nha ❤️❤️. Phục vụ nhiệt tình 🌸. Giá cả hợp lí neh",0,0,0,0,1,1,1,0,0,0,0,1
". Mì hến Bắc Hà. Nước hến ngon một số chỗ có dùng bột ngọt cho nào nước mì làm mất đi vị ngọt tự nhiên của hến, ko quá cay như bên mì hến Ngô Văn Sở. Quán mát, rộng rãi 😊",1,0,0,0,0,1,0,0,0,0,0,0
". Xem qua chương trình ẩm thực của nghệ sĩ Việt Hương mình biết được quán này. Mình đi buổi tối quán động cực kì chỗ ngồi san sát nhau, vì số lượng khách động nên việc ngồi chờ món lâu hơn. 😤 . Vỏ bánh tráng mềm dai, bánh nóng nên ăn liền sẽ ngon hơn 😋",0,0,0,0,0,1,0,0,1,0,0,2
"(+) Phở cuốn khá chắc, nhân nhiều, nước chấm ngon, 1 người ăn phần là vừa, ko no mấy.(-) Bánh phở hơi cứng, ko dai.Trong 2 loại mình thích pc nem hơn, nem nướng đậm vị, dùng với thêm nước chấm là tuyệt!PC Nem-45k/pPC Tôm thịt-38k/p",0,0,0,0,3,3,1,0,0,0,0,0
"[ Bánh cuốn Tây Hồ - Chất lượng tuyệt vời ]Địa chỉ: 127 Đinh Tiên Hoàng, Đa Kao, Q1. Quán này nằm trên đường Đinh Tiên Hoàng cũng đã rất lâu & nổi tiếng, nên chắc bạn nào mê bánh cuốn cũng đã từng dùng bánh cuốn tại đây*** Về không gian:Không gian quán hơi nhỏ, nhiều khi vào giờ cao điểm, khách đến đông quá phải ngồi chung bàn với người khác hoặc phải đợi có chỗ mới được ngồi :(Và không có máy lạnh, chỉ có quạt máy nên cũng hơi nóng 1 chút*** Về thức ăn:1 phần bánh cuốn tuy không nhiều, nhưng vừa đủ no & cực kì chất lượng, chất lượng từ hình thức đến mùi vị- Hình thức trang trí bắt mắt- Mùi vị đậm đà với chả quế & chả lụa*** Về cung cách phục vụCó thể nói ở đây nhân viên phục vụ cũng khá chiều khách, tận tình *** Về giá cả:Có vẻ hơi đắt, nhưng mà tiền nào của nấy, bánh cuốn ở đây đã nổi tiếng từ lâu đời, nên chuyện giá đắt như vậy cũng chấp nhận được :)) Nói chung là nên dùng thử bánh cuốn tại đây, các bạn sẽ ghiền đấy !",2,0,0,0,3,1,1,3,1,0,0,1
